k	a^k	b^k	x^k	|f(x^k)|
0	1.0	3.0	2.0	5.0
1	2.0	3.0	2.5	1.875
2	2.5	3.0	2.75	0.671875
3	2.5	2.75	2.625	0.693359375
4	2.625	2.75	2.6875	0.034423828125
5	2.6875	2.75	2.71875	0.312713623046875
6	2.6875	2.71875	2.703125	0.13765335083007812
7	2.6875	2.703125	2.6953125	0.05124330520629883
8	2.6875	2.6953125	2.69140625	0.008317053318023682
9	2.6875	2.69140625	2.689453125	0.013076536357402802
10	2.689453125	2.69140625	2.6904296875	0.0023855315521359444
11	2.6904296875	2.69140625	2.69091796875	0.002964313025586307
12	2.6904296875	2.69091796875	2.690673828125	0.00028902881604153663
13	2.6904296875	2.690673828125	2.6905517578125	0.0010483418427611468
14	2.6905517578125	2.690673828125	2.69061279296875	0.00037967913272041187
15	2.69061279296875	2.690673828125	2.690643310546875	4.533081326485444e-05
16	2.690643310546875	2.690673828125	2.6906585693359375	0.00012184758764632875
17	2.690643310546875	2.6906585693359375	2.6906509399414062	3.82580337578986e-05
18	2.690643310546875	2.6906509399414062	2.6906471252441406	3.5364781112434684e-06
19	2.6906471252441406	2.6906509399414062	2.6906490325927734	1.7360755730777555e-05
20	2.6906471252441406	2.6906490325927734	2.690648078918457	6.91213328707363e-06
21	2.6906471252441406	2.690648078918457	2.690647602081299	1.6878262059094595e-06
22	2.6906471252441406	2.690647602081299	2.6906473636627197	9.243262972802313e-07
